1,2,3,4,5,6,7,8
801,801,801,801,1401,1101,1401,1401
801,801,801,801,1101,1101,1101,801
801,501,801,801,1101,1101,1101,1401
501,801,801,801,801,1101,1401,1101
801,801,801,801,1101,1101,1101,1401
801,501,1101,1101,1101,801,801,1101
801,1101,801,801,801,1401,801,1401
801,801,801,801,801,1401,1401,1401
801,501,801,801,801,1101,1101,1701
801,801,801,801,801,801,801,1101
1101,801,801,801,801,1101,801,1101
801,801,801,801,201,1101,1401,1401
501,801,801,1101,801,1101,1101,1701
801,501,801,801,1101,801,801,1101
801,1101,801,801,1101,801,1401,801
801,801,801,1101,801,1101,1101,1701
801,801,801,801,801,801,1401,801
501,1101,801,1101,801,1101,1401,1401
801,801,801,1101,1101,1101,1401,801
801,801,801,801,801,801,1401,1101
801,801,1101,801,1101,801,1101,1101
801,1101,501,801,801,801,801,1101
501,801,801,801,801,1101,1101,1101
1101,801,801,1101,801,1101,1401,801
501,801,1101,1101,801,1101,801,1401
801,801,501,801,801,801,1101,1101
801,801,1101,801,1101,1101,1101,1101
801,1101,1101,801,1101,801,1101,1101
501,801,801,801,801,801,1401,1401
801,801,801,801,801,801,1101,1401
501,801,801,801,801,1101,201,1101
1101,801,801,801,801,801,1101,1101
501,1101,801,1101,1101,801,801,1101
1101,501,801,1101,1101,801,1101,1101
801,501,801,801,801,1101,1101,801
501,801,801,801,801,801,801,1101
1101,501,801,1101,801,801,1401,801
801,801,501,801,1101,1101,1401,1401
801,801,1101,1401,801,801,1401,1401
