LCP,WSMR,PoW, NKN
104.0,244.0,290,801
137.0,319.0,381,801
155.0,312.0,341,501
293.0,193.0,381,801
142.0,470.0,425,801
277.0,122.0,327,801
297.0,268.0,383,1101
103.0,304.0,383,1101
208.0,330.0,336,1101
283.0,219.0,520,801
166.0,295.0,380,801
301.0,139.0,345,801
156.0,341.0,337,801
222.0,183.0,335,501
116.0,337.0,350,501
240.0,231.0,429,501
199.0,213.0,297,1101
124.0,300.0,287,801
181.0,198.0,336,1101
143.0,176.0,379,801
142.0,196.0,346,501
112.0,170.0,333,501
185.0,266.0,256,801
199.0,253.0,345,801
353.0,175.0,302,801
105.0,142.0,249,1101
120.0,294.0,396,501
120.0,271.0,312,501
120.0,196.0,247,801
120.0,259.0,352,801
