0,1,2,3,4,5,6,7
290,374,336,342,336,479,382,664
381,335,334,432,474,474,475,616
341,338,431,380,425,432,429,522
381,340,341,490,387,473,431,496
425,430,339,333,522,382,664,345
327,293,310,386,347,388,385,805
383,337,428,569,429,759,594,474
383,334,381,474,472,431,429,475
336,333,337,337,334,428,672,475
520,392,453,427,334,343,684,383
380,381,316,385,477,474,477,430
345,383,472,383,400,521,426,527
337,337,384,342,347,415,384,525
335,301,335,378,335,521,568,604
350,382,334,380,435,436,523,711
429,441,486,336,477,354,496,704
297,342,337,344,479,390,572,488
287,381,382,364,487,381,381,618
336,396,472,391,370,473,474,580
379,339,387,443,569,351,477,676
346,292,428,479,431,381,437,432
333,381,333,332,437,426,604,430
256,336,380,340,433,385,438,572
345,337,348,427,339,382,569,478
302,288,379,436,403,367,334,477
249,381,479,350,428,381,575,478
396,334,291,344,339,302,383,726
312,338,335,333,338,429,387,485
247,298,299,296,389,473,383,620
352,384,436,269,429,411,383,477
244,303,356,380,351,454,383,477
350,288,340,396,451,386,523,477
415,336,350,384,389,386,523,527
304,315,311,403,380,386,523,525
290,431,433,403,349,386,523,474
