"byz","actual","predicted","selected.predicted","clock","threshold","blockchain_size_kB","error","absError","selected.absError","squaredError","consWhite","actual.white","predicted.white","selected.predicted.white","error.white","overall.mean","overall.absError","theoretical.actual","theoretical.pee","error.extrapolation","pee","harm"
0,0,0,0,1000,0,8928,0,0,0,0,TRUE,100,100,100,0,100,0,100,0,53.09305,-53.09305,-3.62702
0,0,0,0,1000,0,NA,0,0,0,0,TRUE,100,100,100,0,100,0,100,0,53.09305,-53.09305,-3.62702
0,0,0,0,1000,0,NA,0,0,0,0,TRUE,100,100,100,0,100,0,100,0,53.09305,-53.09305,-3.62702
0,10,6.9343,6.9343,1000,0,8648,3.0657,3.0657,3.0657,9.39851649,FALSE,90,93.0657,93.0657,-3.06569999999999,93.0657,3.06569999999999,90,0,43.09305,-40.02735,-0.561319999999997
0,10,6.17474,6.17474,1000,0,NA,3.82526,3.82526,3.82526,14.6326140676,FALSE,90,93.82526,93.82526,-3.82526,93.82526,3.82526,90,0,43.09305,-39.26779,0.198240000000004
0,10,7.13788,7.13788,1000,0,NA,2.86212,2.86212,2.86212,8.1917308944,FALSE,90,92.86212,92.86212,-2.86212,92.86212,2.86212,90,0,43.09305,-40.23093,-0.764899999999997
0,20,15.73646,15.73646,1000,0,8916,4.26354,4.26354,4.26354,18.1777733316,FALSE,80,84.26354,84.26354,-4.26354000000001,84.26354,4.26354000000001,80,0,33.09305,-28.82951,0.636520000000004
0,20,15.76065,15.76065,1000,0,NA,4.23935,4.23935,4.23935,17.9720884225,FALSE,80,84.23935,84.23935,-4.23935,84.23935,4.23935,80,0,33.09305,-28.8537,0.612330000000002
0,20,16.43398,16.43398,1000,0,NA,3.56602,3.56602,3.56602,12.7164986404,FALSE,80,83.56602,83.56602,-3.56601999999999,83.56602,3.56601999999999,80,0,33.09305,-29.52703,-0.0609999999999982
0,30,24.83775,24.83775,1000,0,8964,5.16225,5.16225,5.16225,26.6488250625,FALSE,70,75.16225,75.16225,-5.16225,75.16225,5.16225,70,0,23.09305,-17.9308,1.53523
0,30,23.68586,23.68586,1000,0,NA,6.31414,6.31414,6.31414,39.8683639396,FALSE,70,76.31414,76.31414,-6.31413999999999,76.31414,6.31413999999999,70,0,23.09305,-16.77891,2.68712
0,40,45.65854,45.65854,1000,0,8828,-5.65854,5.65854,5.65854,32.0190749315999,FALSE,60,54.34146,54.34146,5.65854,54.34146,5.65854,60,0,13.09305,-7.43451000000001,2.03152
0,40,34.05116,34.05116,1000,0,NA,5.94884,5.94884,5.94884,35.3886973456,FALSE,60,65.94884,65.94884,-5.94883999999999,65.94884,5.94883999999999,60,0,13.09305,-7.14421000000001,2.32182
0,50,58.13318,58.13318,1000,0,8952,-8.13318,8.13318,8.13318,66.1486169123999,FALSE,50,41.86682,41.86682,8.13318,41.86682,8.13318,50,0,3.09305000000001,5.04012999999999,4.50616
0,50,52.74737,52.74737,1000,0,NA,-2.74737,2.74737,2.74737,7.54804191690002,FALSE,50,47.25263,47.25263,2.74737,47.25263,2.74737,50,0,3.09305000000001,-0.345680000000002,-0.879649999999993
0,60,65.75271,65.75271,1000,0,8412,-5.75271000000001,5.75271000000001,5.75271000000001,33.0936723441001,FALSE,40,34.24729,34.24729,5.75271000000001,34.24729,5.75271000000001,40,0,6.90694999999999,-1.15423999999999,2.12569000000001
0,60,72.6716,72.6716,1000,0,NA,-12.6716,12.6716,12.6716,160.56944656,FALSE,40,27.3284,27.3284,12.6716,27.3284,12.6716,40,0,6.90694999999999,5.76465,9.04458
0,70,79.22884,79.22884,1000,0,9016,-9.22884000000001,9.22884000000001,9.22884000000001,85.1714877456001,FALSE,30,20.77116,20.77116,9.22884000000001,20.77116,9.22884000000001,30,0,16.90695,-7.67810999999999,5.60182000000001
0,70,79.29639,79.29639,1000,0,NA,-9.29639,9.29639,9.29639,86.4228670321,FALSE,30,20.70361,20.70361,9.29639,20.70361,9.29639,30,0,16.90695,-7.61055999999999,5.66937000000001
0,80,86.65877,86.65877,1000,0,8752,-6.65876999999999,6.65876999999999,6.65876999999999,44.3392179128999,FALSE,20,13.34123,13.34123,6.65876999999999,13.34123,6.65876999999999,20,0,26.90695,-20.24818,3.03174999999999
0,80,87.25699,87.25699,1000,0,NA,-7.25699,7.25699,7.25699,52.6639038601,FALSE,20,12.74301,12.74301,7.25699,12.74301,7.25699,20,0,26.90695,-19.64996,3.62997000000001
0,90,91.6694,91.6694,1000,0,8852,-1.6694,1.6694,1.6694,2.78689635999999,FALSE,10,8.3306,8.3306,1.6694,8.3306,1.6694,10,0,36.90695,-35.23755,-1.95762
0,90,90.99229,90.99229,1000,0,NA,-0.992289999999997,0.992289999999997,0.992289999999997,0.984639444099994,FALSE,10,9.00771,9.00771,0.992289999999997,9.00771,0.992289999999997,10,0,36.90695,-35.91466,-2.63473
0,100,100,100,1000,0,8892,0,0,0,0,FALSE,0,0,0,0,0,0,0,0,46.90695,-46.90695,-3.62702
0,100,100,100,1000,0,NA,0,0,0,0,FALSE,0,0,0,0,0,0,0,0,46.90695,-46.90695,-3.62702
0,0,0,0,1000,0,8980,0,0,0,0,TRUE,100,100,100,0,100,0,100,0,53.09305,-53.09305,-3.62702
0,10,7.05463,7.05463,1000,0,8760,2.94537,2.94537,2.94537,8.6752044369,FALSE,90,92.94537,92.94537,-2.94537,92.94537,2.94537,90,0,43.09305,-40.14768,-0.681649999999997
0,20,17.29032,17.29032,1000,0,8832,2.70968,2.70968,2.70968,7.34236570239999,FALSE,80,82.70968,82.70968,-2.70967999999999,82.70968,2.70967999999999,80,0,33.09305,-30.38337,-0.917339999999998
0,30,23.98619,23.98619,1000,0,8972,6.01381,6.01381,6.01381,36.1659107161,FALSE,70,76.01381,76.01381,-6.01381000000001,76.01381,6.01381000000001,70,0,23.09305,-17.07924,2.38679
0,40,32.3144,32.3144,1000,0,8572,7.6856,7.6856,7.6856,59.06844736,FALSE,60,67.6856,67.6856,-7.68559999999999,67.6856,7.68559999999999,60,0,13.09305,-5.40745,4.05858
0,50,58.19966,58.19966,1000,0,8888,-8.19965999999999,8.19965999999999,8.19965999999999,67.2344241155999,FALSE,50,41.80034,41.80034,8.19965999999999,41.80034,8.19965999999999,50,0,3.09305000000001,5.10660999999999,4.57264
0,60,67.9276,67.9276,1000,0,8712,-7.9276,7.9276,7.9276,62.84684176,FALSE,40,32.0724,32.0724,7.9276,32.0724,7.9276,40,0,6.90694999999999,1.02065,4.30058
0,70,73.32273,73.32273,1000,0,8664,-3.32273000000001,3.32273000000001,3.32273000000001,11.0405346529,FALSE,30,26.67727,26.67727,3.32273000000001,26.67727,3.32273000000001,30,0,16.90695,-13.58422,-0.304289999999989
0,80,87.52998,87.52998,1000,0,8788,-7.52997999999999,7.52997999999999,7.52997999999999,56.7005988003999,FALSE,20,12.47002,12.47002,7.52997999999999,12.47002,7.52997999999999,20,0,26.90695,-19.37697,3.90296
0,100,100,100,1000,0,8748,0,0,0,0,FALSE,0,0,0,0,0,0,0,0,46.90695,-46.90695,-3.62702
0,0,0,0,1000,0,8904,0,0,0,0,TRUE,100,100,100,0,100,0,100,0,53.09305,-53.09305,-3.62702
0,10,7.21668,7.21668,1000,0,8616,2.78332,2.78332,2.78332,7.7468702224,FALSE,90,92.78332,92.78332,-2.78332,92.78332,2.78332,90,0,43.09305,-40.30973,-0.843699999999997
0,20,11.48266,11.48266,1000,0,8684,8.51734,8.51734,8.51734,72.5450806756,FALSE,80,88.51734,88.51734,-8.51734,88.51734,8.51734,80,0,33.09305,-24.57571,4.89032
0,30,23.23318,23.23318,1000,0,8688,6.76682,6.76682,6.76682,45.7898529124,FALSE,70,76.76682,76.76682,-6.76682,76.76682,6.76682,70,0,23.09305,-16.32623,3.1398
0,40,46.70478,46.70478,1000,0,8840,-6.70478,6.70478,6.70478,44.9540748484,FALSE,60,53.29522,53.29522,6.70478,53.29522,6.70478,60,0,13.09305,-6.38827000000001,3.07776
0,50,56.24311,56.24311,1000,0,8716,-6.24310999999999,6.24310999999999,6.24310999999999,38.9764224720999,FALSE,50,43.75689,43.75689,6.24310999999999,43.75689,6.24310999999999,50,0,3.09305000000001,3.15005999999999,2.61609
0,60,57.15727,57.15727,1000,0,8748,2.84273,2.84273,2.84273,8.08111385289998,FALSE,40,42.84273,42.84273,-2.84273,42.84273,2.84273,40,0,6.90694999999999,-4.06422,-0.78429
0,70,76.95228,76.95228,1000,0,9056,-6.95228,6.95228,6.95228,48.3341971984,FALSE,30,23.04772,23.04772,6.95228,23.04772,6.95228,30,0,16.90695,-9.95466999999999,3.32526000000001
0,80,84.64279,84.64279,1000,0,8616,-4.64279000000001,4.64279000000001,4.64279000000001,21.5554989841,FALSE,20,15.35721,15.35721,4.64279000000001,15.35721,4.64279000000001,20,0,26.90695,-22.26416,1.01577000000001
0,90,94.38736,94.38736,1000,0,8776,-4.38736,4.38736,4.38736,19.2489277696,FALSE,10,5.61264,5.61264,4.38736,5.61264,4.38736,10,0,36.90695,-32.51959,0.760340000000005
0,100,100,100,1000,0,8624,0,0,0,0,FALSE,0,0,0,0,0,0,0,0,46.90695,-46.90695,-3.62702
0,0,0,0,1000,0,8820,0,0,0,0,TRUE,100,100,100,0,100,0,100,0,53.09305,-53.09305,-3.62702
0,10,6.85845,6.85845,1000,0,8756,3.14155,3.14155,3.14155,9.8693364025,FALSE,90,93.14155,93.14155,-3.14155,93.14155,3.14155,90,0,43.09305,-39.9515,-0.485469999999997
0,20,16.92517,16.92517,1000,0,8644,3.07483,3.07483,3.07483,9.45457952889999,FALSE,80,83.07483,83.07483,-3.07482999999999,83.07483,3.07482999999999,80,0,33.09305,-30.01822,-0.552189999999998
0,30,20.57391,20.57391,1000,0,8620,9.42609,9.42609,9.42609,88.8511726881,FALSE,70,79.42609,79.42609,-9.42609,79.42609,9.42609,70,0,23.09305,-13.66696,5.79907
0,40,34.11327,34.11327,1000,0,8636,5.88673,5.88673,5.88673,34.6535900929,FALSE,60,65.88673,65.88673,-5.88673,65.88673,5.88673,60,0,13.09305,-7.20632000000001,2.25971
0,50,55.71382,55.71382,1000,0,8164,-5.71382000000001,5.71382000000001,5.71382000000001,32.6477389924001,FALSE,50,44.28618,44.28618,5.71382000000001,44.28618,5.71382000000001,50,0,3.09305000000001,2.62077,2.08680000000001
0,60,63.44424,63.44424,1000,0,8576,-3.44423999999999,3.44423999999999,3.44423999999999,11.8627891776,FALSE,40,36.55576,36.55576,3.44423999999999,36.55576,3.44423999999999,40,0,6.90694999999999,-3.46271,-0.182780000000003
0,70,71.96419,71.96419,1000,0,8760,-1.96418999999999,1.96418999999999,1.96418999999999,3.85804235609995,FALSE,30,28.03581,28.03581,1.96418999999999,28.03581,1.96418999999999,30,0,16.90695,-14.94276,-1.66283000000001
0,80,86.74208,86.74208,1000,0,8700,-6.74208,6.74208,6.74208,45.4556427264,FALSE,20,13.25792,13.25792,6.74208,13.25792,6.74208,20,0,26.90695,-20.16487,3.11506000000001
0,90,92.40992,92.40992,1000,0,8828,-2.40992,2.40992,2.40992,5.8077144064,FALSE,10,7.59008,7.59008,2.40992,7.59008,2.40992,10,0,36.90695,-34.49703,-1.2171
0,100,100,100,1000,0,8408,0,0,0,0,FALSE,0,0,0,0,0,0,0,0,46.90695,-46.90695,-3.62702
