"byz","actual","predicted","selected.predicted","clock","threshold","error","absError","selected.absError","squaredError","consWhite","actual.white","predicted.white","selected.predicted.white","error.white","overall.mean","overall.absError","theoretical.actual","theoretical.pee","error.extrapolation","pee","harm"
0,25,21.904765,21.7311,1000,0,3.095235,3.095235,3.2689,9.58047970522497,FALSE,75,78.095235,78.2689,-3.095235,78.095235,3.095235,75,0,0.00961999999999819,3.085615,1.647955
1,25,35.8665947368421,35.5615,1000,0,-10.8665947368421,10.8665947368421,10.5615,118.082881174764,FALSE,75,64.1334052631579,64.4385,10.8665947368421,60.926735,14.073265,71.25,3.75,3.75913899999999,10.314126,9.41931473684211
2,25,48.2694833333333,48.6729,1000,0,-23.2694833333333,23.2694833333333,23.6729,541.468854600277,FALSE,75,51.7305166666667,51.3271,23.2694833333333,46.557465,28.442535,67.5,7.5,7.508658,20.933877,21.8222033333333
3,25,53.8415529411765,53.6998,1000,0,-28.8415529411765,28.8415529411765,28.6998,831.835176058685,FALSE,75,46.1584470588235,46.3002,28.8415529411765,39.23468,35.76532,63.75,11.25,11.258177,24.507143,27.3942729411765
4,25,63.22445,63.2387,1000,0,-38.22445,38.22445,38.2387,1461.1085778025,FALSE,75,36.77555,36.7613,38.22445,29.42044,45.57956,60,15,15.007696,30.571864,36.77717
5,25,71.81704,71.842,1000,0,-46.81704,46.81704,46.842,2191.8352343616,FALSE,75,28.18296,28.158,46.81704,21.13722,53.86278,56.25,18.75,18.757215,35.105565,45.36976
6,25,73.2958928571429,73.2391,1000,0,-48.2958928571429,48.2958928571429,48.2391,2332.49326686862,FALSE,75,26.7041071428571,26.7609,48.2958928571429,18.692875,56.307125,52.5,22.5,22.506734,33.800391,46.8486128571429
7,25,77.8252153846154,77.4751,1000,0,-52.8252153846154,52.8252153846154,52.4751,2790.50338043101,FALSE,75,22.1747846153846,22.5249,52.8252153846154,14.41361,60.58639,48.75,26.25,26.256253,34.330137,51.3779353846154
0,25,25.976055,25.8666,1000,0,-0.976054999999999,0.976054999999999,0.866599999999995,0.952683363024998,FALSE,75,74.023945,74.1334,0.976055000000002,74.023945,0.976055000000002,75,0,0.00961999999999819,0.966435000000004,-0.471224999999997
1,25,35.819347368421,36.0829,1000,0,-10.819347368421,10.819347368421,11.0829,117.058277478559,FALSE,75,64.180652631579,63.9171,10.819347368421,60.97162,14.02838,71.25,3.75,3.75913899999999,10.269241,9.37206736842105
2,25,49.9519611111111,50.1419,1000,0,-24.9519611111111,24.9519611111111,25.1419,622.600363290401,FALSE,75,50.0480388888889,49.8581,24.9519611111111,45.043235,29.956765,67.5,7.5,7.508658,22.448107,23.5046811111111
3,25,56.6739764705882,56.752,1000,0,-31.6739764705882,31.6739764705882,31.752,1003.24078545938,FALSE,75,43.3260235294118,43.248,31.6739764705882,36.82712,38.17288,63.75,11.25,11.258177,26.914703,30.2266964705882
4,25,58.230725,57.9408,1000,0,-33.230725,33.230725,32.9408,1104.28108402562,FALSE,75,41.769275,42.0592,33.230725,33.41542,41.58458,60,15,15.007696,26.576884,31.783445
5,25,69.2337333333333,100,1000,0,-44.2337333333333,44.2337333333333,75,1956.62316460444,FALSE,75,30.7662666666667,0,44.2337333333333,23.0747,51.9253,56.25,18.75,18.757215,33.168085,42.7864533333333
6,25,71.8799285714286,100,1000,0,-46.8799285714286,46.8799285714286,75,2197.72770286225,FALSE,75,28.1200714285714,0,46.8799285714286,19.68405,55.31595,52.5,22.5,22.506734,32.809216,45.4326485714286
7,25,77.4658692307692,100,1000,0,-52.4658692307692,52.4658692307692,75,2752.66743414018,FALSE,75,22.5341307692308,0,52.4658692307692,14.647185,60.352815,48.75,26.25,26.256253,34.096562,51.0185892307692
0,25,24.10721,24.0196,1000,0,0.892789999999998,0.892789999999998,0.980400000000003,0.797073984099996,FALSE,75,75.89279,75.9804,-0.892789999999991,75.89279,0.892789999999991,75,0,0.00961999999999819,0.883169999999993,-0.554489999999998
1,25,37.2743894736842,37.0285,1000,0,-12.2743894736842,12.2743894736842,12.0285,150.66063695169,FALSE,75,62.7256105263158,62.9715,12.2743894736842,59.58933,15.41067,71.25,3.75,3.75913899999999,11.651531,10.8271094736842
2,25,48.4761333333333,48.5006,1000,0,-23.4761333333333,23.4761333333333,23.5006,551.128836284445,FALSE,75,51.5238666666667,51.4994,23.4761333333333,46.37148,28.62852,67.5,7.5,7.508658,21.119862,22.0288533333333
3,25,55.0991588235294,100,1000,0,-30.0991588235294,30.0991588235294,75,905.959361884048,FALSE,75,44.9008411764706,0,30.0991588235294,38.165715,36.834285,63.75,11.25,11.258177,25.576108,28.6518788235294
4,25,61.96505625,61.6764,1000,0,-36.96505625,36.96505625,36.6764,1366.41538356566,FALSE,75,38.03494375,38.3236,36.96505625,30.427955,44.572045,60,15,15.007696,29.564349,35.51777625
5,25,68.70398,100,1000,0,-43.70398,43.70398,75,1910.0378678404,FALSE,75,31.29602,0,43.70398,23.472015,51.527985,56.25,18.75,18.757215,32.77077,42.2567
6,25,73.3651214285714,73.2886,1000,0,-48.3651214285714,48.3651214285714,48.2886,2339.18497080046,FALSE,75,26.6348785714286,26.7114,48.3651214285714,18.644415,56.355585,52.5,22.5,22.506734,33.848851,46.9178414285714
7,25,76.4971076923077,76.8025,1000,0,-51.4971076923077,51.4971076923077,51.8025,2651.95210067313,FALSE,75,23.5028923076923,23.1975,51.4971076923077,15.27688,59.72312,48.75,26.25,26.256253,33.466867,50.0498276923077
0,25,26.83763,26.7194,1000,0,-1.83763,1.83763,1.7194,3.3768840169,FALSE,75,73.16237,73.2806,1.83763,73.16237,1.83763,75,0,0.00961999999999819,1.82801000000001,0.390350000000005
1,25,41.6286947368421,41.48,1000,0,-16.6286947368421,16.6286947368421,16.48,276.51348865108,FALSE,75,58.3713052631579,58.52,16.6286947368421,55.45274,19.54726,71.25,3.75,3.75913899999999,15.788121,15.1814147368421
2,25,50.6818055555555,50.2675,1000,0,-25.6818055555555,25.6818055555555,25.2675,659.555136593364,FALSE,75,49.3181944444445,49.7325,25.6818055555555,44.386375,30.613625,67.5,7.5,7.508658,23.104967,24.2345255555556
3,25,57.0935823529412,56.5421,1000,0,-32.0935823529412,32.0935823529412,31.5421,1029.99802824502,FALSE,75,42.9064176470588,43.4579,32.0935823529412,36.470455,38.529545,63.75,11.25,11.258177,27.271368,30.6463023529412
4,25,58.414675,58.4623,1000,0,-33.414675,33.414675,33.4623,1116.54050535562,FALSE,75,41.585325,41.5377,33.414675,33.26826,41.73174,60,15,15.007696,26.724044,31.967395
5,25,64.68424,100,1000,0,-39.68424,39.68424,75,1574.8389043776,FALSE,75,35.31576,0,39.68424,26.48682,48.51318,56.25,18.75,18.757215,29.755965,38.23696
6,25,73.2514857142857,100,1000,0,-48.2514857142857,48.2514857142857,75,2328.20587363592,FALSE,75,26.7485142857143,0,48.2514857142857,18.72396,56.27604,52.5,22.5,22.506734,33.769306,46.8042057142857
7,25,72.0835230769231,71.8553,1000,0,-47.0835230769231,47.0835230769231,46.8553,2216.85814533515,FALSE,75,27.9164769230769,28.1447,47.0835230769231,18.14571,56.85429,48.75,26.25,26.256253,30.598037,45.6362430769231
0,25,22.304135,22.3747,1000,0,2.695865,2.695865,2.6253,7.26768809822499,FALSE,75,77.695865,77.6253,-2.695865,77.695865,2.695865,75,0,0.00961999999999819,2.686245,1.248585
1,25,39.8548368421053,40.054,1000,0,-14.8548368421053,14.8548368421053,15.054,220.666177605568,FALSE,75,60.1451631578947,59.946,14.8548368421053,57.137905,17.862095,71.25,3.75,3.75913899999999,14.102956,13.4075568421053
2,25,47.4699611111111,46.9079,1000,0,-22.4699611111111,22.4699611111111,21.9079,504.899152334846,FALSE,75,52.5300388888889,53.0921,22.4699611111111,47.277035,27.722965,67.5,7.5,7.508658,20.214307,21.0226811111111
3,25,55.5401,100,1000,0,-30.5401,30.5401,75,932.69770801,FALSE,75,44.4599,0,30.5401,37.790915,37.209085,63.75,11.25,11.258177,25.950908,29.09282
4,25,63.14418125,63.7299,1000,0,-38.14418125,38.14418125,38.7299,1454.97856323285,FALSE,75,36.85581875,36.2701,38.14418125,29.484655,45.515345,60,15,15.007696,30.507649,36.69690125
5,25,70.3054933333333,100,1000,0,-45.3054933333333,45.3054933333333,75,2052.58772617671,FALSE,75,29.6945066666667,0,45.3054933333333,22.27088,52.72912,56.25,18.75,18.757215,33.971905,43.8582133333333
6,25,70.4318285714286,70.7114,1000,0,-45.4318285714286,45.4318285714286,45.7114,2064.05104734367,FALSE,75,29.5681714285714,29.2886,45.4318285714286,20.69772,54.30228,52.5,22.5,22.506734,31.795546,43.9845485714286
7,25,75.7624153846154,75.1676,1000,0,-50.7624153846154,50.7624153846154,50.1676,2576.82281568024,FALSE,75,24.2375846153846,24.8324,50.7624153846154,15.75443,59.24557,48.75,26.25,26.256253,32.989317,49.3151353846154
0,25,24.873445,24.9302,1000,0,0.126554999999996,0.126554999999996,0.0697999999999972,0.016016168024999,FALSE,75,75.126555,75.0698,-0.126554999999996,75.126555,0.126554999999996,75,0,0.00961999999999819,0.116934999999998,-1.320725
1,25,32.1836421052632,32.3333,1000,0,-7.18364210526315,7.18364210526315,7.3333,51.6047138965096,FALSE,75,67.8163578947369,67.6667,7.18364210526315,64.42554,10.57446,71.25,3.75,3.75913899999999,6.815321,5.73636210526316
2,25,49.0985666666667,49.4221,1000,0,-24.0985666666667,24.0985666666667,24.4221,580.740915387778,FALSE,75,50.9014333333333,50.5779,24.0985666666667,45.81129,29.18871,67.5,7.5,7.508658,21.680052,22.6512866666667
3,25,53.7174,53.9894,1000,0,-28.7174,28.7174,28.9894,824.68906276,FALSE,75,46.2826,46.0106,28.7174,39.34021,35.65979,63.75,11.25,11.258177,24.401613,27.27012
4,25,62.4233625,61.9918,1000,0,-37.4233625,37.4233625,36.9918,1400.50806080641,FALSE,75,37.5766375,38.0082,37.4233625,30.06131,44.93869,60,15,15.007696,29.930994,35.9760825
5,25,70.01552,70.1757,1000,0,-45.01552,45.01552,45.1757,2026.3970408704,FALSE,75,29.98448,29.8243,45.01552,22.48836,52.51164,56.25,18.75,18.757215,33.754425,43.56824
6,25,73.6701785714286,73.7393,1000,0,-48.6701785714286,48.6701785714286,48.7393,2368.78628217474,FALSE,75,26.3298214285714,26.2607,48.6701785714286,18.430875,56.569125,52.5,22.5,22.506734,34.062391,47.2228985714286
7,25,75.2343769230769,75.3031,1000,0,-50.2343769230769,50.2343769230769,50.3031,2523.49262484976,FALSE,75,24.7656230769231,24.6969,50.2343769230769,16.097655,58.902345,48.75,26.25,26.256253,32.646092,48.7870969230769
0,25,23.10879,23.2995,1000,0,1.89121,1.89121,1.70050000000001,3.57667526409999,FALSE,75,76.89121,76.7005,-1.89121,76.89121,1.89121,75,0,0.00961999999999819,1.88159,0.443930000000002
1,25,39.7944315789474,39.5605,1000,0,-14.7944315789474,14.7944315789474,14.5605,218.875205744155,FALSE,75,60.2055684210526,60.4395,14.7944315789474,57.19529,17.80471,71.25,3.75,3.75913899999999,14.045571,13.3471515789474
2,25,53.7723388888889,54.0301,1000,0,-28.7723388888889,28.7723388888889,29.0301,827.847485137067,FALSE,75,46.2276611111111,45.9699,28.7723388888889,41.604895,33.395105,67.5,7.5,7.508658,25.886447,27.3250588888889
