"byz","actual","predicted","selected.predicted","clock","threshold","blockchain_size_kB","error","absError","selected.absError","squaredError","consWhite","actual.white","predicted.white","selected.predicted.white","error.white","overall.mean","overall.absError","theoretical.actual","theoretical.pee","error.extrapolation","pee","harm"
0,25,13.58422,13.58422,1000,0,NA,11.41578,11.41578,11.41578,130.3200330084,FALSE,75,86.41578,86.41578,-11.41578,86.41578,11.41578,75,0,6.71827500000001,4.69750499999999,4.697505
0,25,20.33546,20.33546,1000,0,NA,4.66454,4.66454,4.66454,21.7579334116,FALSE,75,79.66454,79.66454,-4.66454,79.66454,4.66454,75,0,6.71827500000001,-2.05373500000001,-2.053735
0,25,19.80753,19.80753,1000,0,NA,5.19247,5.19247,5.19247,26.9617447009,FALSE,75,80.19247,80.19247,-5.19247,80.19247,5.19247,75,0,6.71827500000001,-1.52580500000001,-1.525805
1,25,20.21724,20.21724,1000,0,NA,4.78276,4.78276,4.78276,22.8747932176,FALSE,75,79.78276,79.78276,-4.78276,79.78276,4.78276,71.25,3.75,2.63236125,2.15039875,-1.935515
1,25,22.54342,22.54342,1000,0,NA,2.45658,2.45658,2.45658,6.03478529639999,FALSE,75,77.45658,77.45658,-2.45658,77.45658,2.45658,71.25,3.75,2.63236125,-0.175781250000004,-4.261695
1,25,30.72626,30.72626,1000,0,NA,-5.72626,5.72626,5.72626,32.7900535876,FALSE,75,69.27374,69.27374,5.72626,69.27374,5.72626,71.25,3.75,2.63236125,3.09389875,-0.992015
2,25,24.5141,24.5141,1000,0,NA,0.485900000000001,0.485900000000001,0.485900000000001,0.236098810000001,FALSE,75,75.4859,75.4859,-0.485900000000001,75.4859,0.485900000000001,67.5,7.5,1.4535525,-0.9676525,-6.232375
2,25,24.96978,24.96978,1000,0,NA,0.0302199999999999,0.0302199999999999,0.0302199999999999,0.000913248399999995,FALSE,75,75.03022,75.03022,-0.0302199999999999,75.03022,0.0302199999999999,67.5,7.5,1.4535525,-1.4233325,-6.688055
2,25,21.40348,21.40348,1000,0,NA,3.59652,3.59652,3.59652,12.9349561104,FALSE,75,78.59652,78.59652,-3.59652,78.59652,3.59652,67.5,7.5,1.4535525,2.1429675,-3.121755
2,25,32.20651,32.20651,1000,0,NA,-7.20651,7.20651,7.20651,51.9337863801,FALSE,75,67.79349,67.79349,7.20651000000001,67.79349,7.20651000000001,67.5,7.5,1.4535525,5.7529575,0.488235000000001
3,25,40.45055,40.45055,1000,0,NA,-15.45055,15.45055,15.45055,238.7194953025,FALSE,75,59.54945,59.54945,15.45055,59.54945,15.45055,63.75,11.25,5.53946625,9.91108375,8.732275
3,25,33.49812,33.49812,1000,0,NA,-8.49812,8.49812,8.49812,72.2180435344,FALSE,75,66.50188,66.50188,8.49812,66.50188,8.49812,63.75,11.25,5.53946625,2.95865375,1.779845
3,25,33.34055,33.34055,1000,0,NA,-8.34055,8.34055,8.34055,69.5647743025,FALSE,75,66.65945,66.65945,8.34055000000001,66.65945,8.34055000000001,63.75,11.25,5.53946625,2.80108375,1.622275
3,25,25.90688,25.90688,1000,0,NA,-0.906879999999997,0.906879999999997,0.906879999999997,0.822431334399995,FALSE,75,74.09312,74.09312,0.906880000000001,74.09312,0.906880000000001,63.75,11.25,5.53946625,-4.63258625000001,-5.811395
4,25,35.18031,35.18031,1000,0,NA,-10.18031,10.18031,10.18031,103.6387116961,FALSE,75,64.81969,64.81969,10.18031,64.81969,10.18031,60,15,9.62537999999999,0.554930000000006,3.462035
4,25,17.21522,17.21522,1000,0,NA,7.78478,7.78478,7.78478,60.6027996484,FALSE,75,82.78478,82.78478,-7.78478,82.78478,7.78478,60,15,9.62537999999999,-1.84059999999999,1.066505
4,25,20.72708,20.72708,1000,0,NA,4.27292,4.27292,4.27292,18.2578453264,FALSE,75,79.27292,79.27292,-4.27292,79.27292,4.27292,60,15,9.62537999999999,-5.35245999999999,-2.445355
5,25,35.79877,35.79877,1000,0,NA,-10.79877,10.79877,10.79877,116.6134335129,FALSE,75,64.20123,64.20123,10.79877,64.20123,10.79877,56.25,18.75,13.71129375,-2.91252374999999,4.080495
5,25,40.82127,40.82127,1000,0,NA,-15.82127,15.82127,15.82127,250.3125844129,FALSE,75,59.17873,59.17873,15.82127,59.17873,15.82127,56.25,18.75,13.71129375,2.10997625,9.102995
5,25,25.78641,25.78641,1000,0,NA,-0.78641,0.78641,0.78641,0.6184406881,FALSE,75,74.21359,74.21359,0.786410000000004,74.21359,0.786410000000004,56.25,18.75,13.71129375,-12.92488375,-5.931865
6,25,29.49956,29.49956,1000,0,NA,-4.49956,4.49956,4.49956,20.2460401936,FALSE,75,70.50044,70.50044,4.49956,70.50044,4.49956,52.5,22.5,17.7972075,-13.2976475,-2.218715
6,25,43.79203,43.79203,1000,0,NA,-18.79203,18.79203,18.79203,353.1403915209,FALSE,75,56.20797,56.20797,18.79203,56.20797,18.79203,52.5,22.5,17.7972075,0.994822500000005,12.073755
6,25,32.00033,32.00033,1000,0,NA,-7.00033,7.00033,7.00033,49.0046201089,FALSE,75,67.99967,67.99967,7.00032999999999,67.99967,7.00032999999999,52.5,22.5,17.7972075,-10.7968775,0.282054999999998
7,25,52.29506,52.29506,1000,0,NA,-27.29506,27.29506,27.29506,745.0203004036,FALSE,75,47.70494,47.70494,27.29506,47.70494,27.29506,48.75,26.25,21.88312125,5.41193875,20.576785
7,25,46.50423,46.50423,1000,0,NA,-21.50423,21.50423,21.50423,462.4319078929,FALSE,75,53.49577,53.49577,21.50423,53.49577,21.50423,48.75,26.25,21.88312125,-0.378891250000002,14.785955
7,25,42.60303,42.60303,1000,0,NA,-17.60303,17.60303,17.60303,309.8666651809,FALSE,75,57.39697,57.39697,17.60303,57.39697,17.60303,48.75,26.25,21.88312125,-4.28009125000001,10.884755
