"byz","actual","predicted","selected.predicted","clock","threshold","error","absError","selected.absError","squaredError","consWhite","actual.white","predicted.white","selected.predicted.white","error.white","overall.mean","overall.absError","theoretical.actual","theoretical.pee","error.extrapolation","pee","harm"
0,25,23.949355,24.8298,104,0.02,1.050645,1.050645,0.170199999999998,1.10385491602499,FALSE,75,76.050645,75.1702,-1.050645,76.050645,1.050645,75,0,0.175195000000002,0.875450000000001,-0.320440000000008
1,25,35.5196421052632,34.5819,Inf,0.02,-10.5196421052632,10.5196421052632,9.5819,110.662870022826,FALSE,75,64.4803578947368,65.4181,10.5196421052632,61.25634,13.74366,71.25,3.75,3.91643525000001,9.82722474999999,9.14855710526315
2,25,40.5573444444444,40.8496,Inf,0.02,-15.5573444444444,15.5573444444444,15.8496,242.030966163086,FALSE,75,59.4426555555556,59.1504,15.5573444444444,53.49839,21.50161,67.5,7.5,7.65767550000001,13.8439345,14.1862594444444
3,25,50.8594470588235,50.6402,Inf,0.02,-25.8594470588235,25.8594470588235,25.6402,668.711002188097,FALSE,75,49.1405529411765,49.3598,25.8594470588235,41.76947,33.23053,63.75,11.25,11.39891575,21.83161425,24.4883620588235
4,25,59.1260875,58.5143,Inf,0.02,-34.1260875,34.1260875,33.5143,1164.58984805766,FALSE,75,40.8739125,41.4857,34.1260875,32.69913,42.30087,60,15,15.140156,27.160714,32.7550025
5,25,67.1511266666667,100,Inf,0.02,-42.1511266666667,42.1511266666667,75,1776.71747926938,FALSE,75,32.8488733333333,0,42.1511266666667,24.636655,50.363345,56.25,18.75,18.88139625,31.48194875,40.7800416666667
6,25,71.76085,100,Inf,0.02,-46.76085,46.76085,75,2186.5770927225,FALSE,75,28.23915,0,46.76085,19.767405,55.232595,52.5,22.5,22.6226365,32.6099585,45.389765
7,25,71.5898769230769,71.7519,Inf,0.02,-46.5898769230769,46.5898769230769,46.7519,2170.61663170746,FALSE,75,28.4101230769231,28.2481,46.5898769230769,18.46658,56.53342,48.75,26.25,26.36387675,30.16954325,45.2187919230769
0,25,22.17359,22.2559,137,0.02,2.82641,2.82641,2.7441,7.98859348810002,FALSE,75,77.82641,77.7441,-2.82641000000001,77.82641,2.82641000000001,75,0,0.175195000000002,2.65121500000001,1.455325
1,25,40.6059947368421,40.7072,Inf,0.02,-15.6059947368421,15.6059947368421,15.7072,243.547071726344,FALSE,75,59.3940052631579,59.2928,15.6059947368421,56.424305,18.575695,71.25,3.75,3.91643525000001,14.65925975,14.2349097368421
2,25,41.6622833333333,42.1411,Inf,0.02,-16.6622833333333,16.6622833333333,17.1411,277.631685880278,FALSE,75,58.3377166666667,57.8589,16.6622833333333,52.503945,22.496055,67.5,7.5,7.65767550000001,14.8383795,15.2911983333333
3,25,55.3744352941177,55.7534,Inf,0.02,-30.3744352941177,30.3744352941177,30.7534,922.60631943654,FALSE,75,44.6255647058823,44.2466,30.3744352941177,37.93173,37.06827,63.75,11.25,11.39891575,25.66935425,29.0033502941176
4,25,61.6886375,61.4938,Inf,0.02,-36.6886375,36.6886375,36.4938,1346.05612160641,FALSE,75,38.3113625,38.5062,36.6886375,30.64909,44.35091,60,15,15.140156,29.210754,35.3175525
5,25,65.2065666666667,65.7304,Inf,0.02,-40.2065666666667,40.2065666666667,40.7304,1616.56800312111,FALSE,75,34.7934333333333,34.2696,40.2065666666667,26.095075,48.904925,56.25,18.75,18.88139625,30.02352875,38.8354816666667
6,25,70.4623357142857,69.899,Inf,0.02,-45.4623357142857,45.4623357142857,44.899,2066.82396859842,FALSE,75,29.5376642857143,30.101,45.4623357142857,20.676365,54.323635,52.5,22.5,22.6226365,31.7009985,44.0912507142857
7,25,71.0813,71.1866,Inf,0.02,-46.0813,46.0813,46.1866,2123.48620969,FALSE,75,28.9187,28.8134,46.0813,18.797155,56.202845,48.75,26.25,26.36387675,29.83896825,44.710215
1,25,35.4247368421053,35.2184,Inf,0.02,-10.4247368421053,10.4247368421053,10.2184,108.675138227147,FALSE,75,64.5752631578947,64.7816,10.4247368421053,61.3465,13.6535,71.25,3.75,3.91643525000001,9.73706474999999,9.05365184210526
2,25,35.7364111111111,35.7103,Inf,0.02,-10.7364111111111,10.7364111111111,10.7103,115.27052354679,FALSE,75,64.2635888888889,64.2897,10.7364111111111,57.83723,17.16277,67.5,7.5,7.65767550000001,9.50509449999999,9.36532611111111
