"byz","actual","predicted","selected.predicted","clock","threshold","blockchain_size_kB","error","absError","selected.absError","squaredError","consWhite","actual.white","predicted.white","selected.predicted.white","error.white","overall.mean","overall.absError","theoretical.actual","theoretical.pee","error.extrapolation","pee","harm"
0,25,29.7675,29.7675,290,0.02,2828,-4.7675,4.7675,4.7675,22.72905625,FALSE,75,70.2325,70.2325,4.7675,70.2325,4.7675,75,0,3.391025,1.376475,0.674105000000003
0,25,21.1949,21.1949,381,0.02,NA,3.8051,3.8051,3.8051,14.47878601,FALSE,75,78.8051,78.8051,-3.8051,78.8051,3.8051,75,0,3.391025,0.414075,-0.288295
0,25,14.72467,14.72467,341,0.02,NA,10.27533,10.27533,10.27533,105.5824066089,FALSE,75,85.27533,85.27533,-10.27533,85.27533,10.27533,75,0,3.391025,6.884305,6.181935
0,25,28.4953,28.4953,381,0.02,NA,-3.4953,3.4953,3.4953,12.21712209,FALSE,75,71.5047,71.5047,3.4953,71.5047,3.4953,75,0,3.391025,0.104275000000001,-0.598094999999999
0,25,33.37614,33.37614,425,0.02,NA,-8.37614,8.37614,8.37614,70.1597212996,FALSE,75,66.62386,66.62386,8.37613999999999,66.62386,8.37613999999999,75,0,3.391025,4.985115,4.282745
1,25,25.34637,25.34637,374,0.02,3692,-0.34637,0.34637,0.34637,0.1199721769,FALSE,75,74.65363,74.65363,0.346370000000007,74.65363,0.346370000000007,71.25,3.75,0.528526249999999,-0.182156249999998,-3.747025
1,25,13.78519,13.78519,335,0.02,NA,11.21481,11.21481,11.21481,125.7719633361,FALSE,75,86.21481,86.21481,-11.21481,86.21481,11.21481,71.25,3.75,0.528526249999999,10.68628375,7.121415
1,25,21.50966,21.50966,338,0.02,NA,3.49034,3.49034,3.49034,12.1824733156,FALSE,75,78.49034,78.49034,-3.49034,78.49034,3.49034,71.25,3.75,0.528526249999999,2.96181375,-0.603054999999999
1,25,24.95474,24.95474,340,0.02,NA,0.045259999999999,0.045259999999999,0.045259999999999,0.00204846759999991,FALSE,75,75.04526,75.04526,-0.045259999999999,75.04526,0.045259999999999,71.25,3.75,0.528526249999999,-0.48326625,-4.048135
1,25,27.28663,27.28663,430,0.02,NA,-2.28663,2.28663,2.28663,5.22867675690001,FALSE,75,72.71337,72.71337,2.28663,72.71337,2.28663,71.25,3.75,0.528526249999999,1.75810375,-1.806765
2,25,34.29514,34.29514,336,0.02,3020,-9.29514,9.29514,9.29514,86.3996276196001,FALSE,75,65.70486,65.70486,9.29514,65.70486,9.29514,67.5,7.5,4.4480775,4.84706250000001,5.201745
2,25,32.17879,32.17879,334,0.02,NA,-7.17879,7.17879,7.17879,51.5350258641,FALSE,75,67.82121,67.82121,7.17878999999999,67.82121,7.17878999999999,67.5,7.5,4.4480775,2.7307125,3.085395
2,25,31.32434,31.32434,431,0.02,NA,-6.32434,6.32434,6.32434,39.9972764356,FALSE,75,68.67566,68.67566,6.32434000000001,68.67566,6.32434000000001,67.5,7.5,4.4480775,1.8762625,2.230945
2,25,34.43354,34.43354,341,0.02,NA,-9.43354,9.43354,9.43354,88.9916769316,FALSE,75,65.56646,65.56646,9.43353999999999,65.56646,9.43353999999999,67.5,7.5,4.4480775,4.9854625,5.340145
2,25,28.63548,28.63548,339,0.02,NA,-3.63548,3.63548,3.63548,13.2167148304,FALSE,75,71.36452,71.36452,3.63548,71.36452,3.63548,67.5,7.5,4.4480775,-0.812597499999995,-0.457914999999998
3,25,33.74875,33.74875,342,0.02,3672,-8.74875,8.74875,8.74875,76.5406265625,FALSE,75,66.25125,66.25125,8.74875,66.25125,8.74875,63.75,11.25,8.36762875000001,0.381121249999993,4.655355
3,25,37.415,37.415,432,0.02,NA,-12.415,12.415,12.415,154.132225,FALSE,75,62.585,62.585,12.415,62.585,12.415,63.75,11.25,8.36762875000001,4.04737124999999,8.321605
3,25,32.31746,32.31746,380,0.02,NA,-7.31746,7.31746,7.31746,53.5452208516,FALSE,75,67.68254,67.68254,7.31746,67.68254,7.31746,63.75,11.25,8.36762875000001,-1.05016875000001,3.224065
3,25,37.4389,37.4389,490,0.02,NA,-12.4389,12.4389,12.4389,154.72623321,FALSE,75,62.5611,62.5611,12.4389,62.5611,12.4389,63.75,11.25,8.36762875000001,4.07127125,8.345505
3,25,36.86303,36.86303,333,0.02,NA,-11.86303,11.86303,11.86303,140.7314807809,FALSE,75,63.13697,63.13697,11.86303,63.13697,11.86303,63.75,11.25,8.36762875000001,3.49540124999999,7.769635
4,25,28.54947,28.54947,336,0.02,2032,-3.54947,3.54947,3.54947,12.5987372809,FALSE,75,71.45053,71.45053,3.54947,71.45053,3.54947,60,15,12.28718,-8.73771,-0.543925
4,25,23.12993,23.12993,474,0.02,NA,1.87007,1.87007,1.87007,3.49716180489999,FALSE,75,76.87007,76.87007,-1.87007,76.87007,1.87007,60,15,12.28718,-10.41711,-2.223325
4,25,35.89274,35.89274,425,0.02,NA,-10.89274,10.89274,10.89274,118.6517847076,FALSE,75,64.10726,64.10726,10.89274,64.10726,10.89274,60,15,12.28718,-1.39444,6.799345
4,25,26.66042,26.66042,387,0.02,NA,-1.66042,1.66042,1.66042,2.75699457640001,FALSE,75,73.33958,73.33958,1.66042,73.33958,1.66042,60,15,12.28718,-10.62676,-2.432975
4,25,44.27943,44.27943,522,0.02,NA,-19.27943,19.27943,19.27943,371.6964211249,FALSE,75,55.72057,55.72057,19.27943,55.72057,19.27943,60,15,12.28718,6.99225,15.186035
5,25,44.87853,44.87853,479,0.02,4652,-19.87853,19.87853,19.87853,395.1559549609,FALSE,75,55.12147,55.12147,19.87853,55.12147,19.87853,56.25,18.75,16.20673125,3.67179875,15.785135
