"byz","actual","predicted","selected.predicted","clock","threshold","error","absError","selected.absError","squaredError","consWhite","actual.white","predicted.white","selected.predicted.white","error.white","overall.mean","overall.absError","theoretical.actual","theoretical.pee","error.extrapolation","pee","harm"
0,25,28.217105,28.0611,1000,0.01,-3.217105,3.217105,3.06110000000001,10.349764581025,FALSE,75,71.782895,71.9389,3.217105,71.782895,3.217105,75,0,2.86147249999999,0.355632500000013,-0.0391450000000031
1,25,44.5710157894737,100,1000,0.01,-19.5710157894737,19.5710157894737,75,383.024659031828,FALSE,75,55.4289842105263,0,19.5710157894737,52.657535,22.342465,71.25,3.75,6.46839887499999,15.874066125,16.3147657894737
2,25,47.3002166666667,46.5921,1000,0.01,-22.3002166666667,22.3002166666667,21.5921,497.299663380278,FALSE,75,52.6997833333333,53.4079,22.3002166666667,47.429805,27.570195,67.5,7.5,10.07532525,17.49486975,19.0439666666667
3,25,61.0541705882353,100,1000,0.01,-36.0541705882353,36.0541705882353,75,1299.90321680557,FALSE,75,38.9458294117647,0,36.0541705882353,33.103955,41.896045,63.75,11.25,13.682251625,28.213793375,32.7979205882353
4,25,68.2627875,67.7827,1000,0.01,-43.2627875,43.2627875,42.7827,1871.66878227016,FALSE,75,31.7372125,32.2173,43.2627875,25.38977,49.61023,60,15,17.289178,32.321052,40.0065375
5,25,70.05122,70.1644,1000,0.01,-45.05122,45.05122,45.1644,2029.6124234884,FALSE,75,29.94878,29.8356,45.05122,22.461585,52.538415,56.25,18.75,20.896104375,31.642310625,41.79497
6,25,76.1574928571429,75.933,1000,0.01,-51.1574928571429,51.1574928571429,50.933,2617.08907542862,FALSE,75,23.8425071428571,24.067,51.1574928571429,16.689755,58.310245,52.5,22.5,24.50303075,33.80721425,47.9012428571429
7,25,82.2176,82.2014,1000,0.01,-57.2176,57.2176,57.2014,3273.85374976,FALSE,75,17.7824,17.7986,57.2176,11.55856,63.44144,48.75,26.25,28.109957125,35.331482875,53.96135
0,25,29.84996,30.3886,1000,0.01,-4.84996,4.84996,5.3886,23.5221120016,FALSE,75,70.15004,69.6114,4.84996,70.15004,4.84996,75,0,2.86147249999999,1.98848750000001,1.59371
1,25,35.7150263157895,35.6883,1000,0.01,-10.7150263157895,10.7150263157895,10.6883,114.811788948061,FALSE,75,64.2849736842105,64.3117,10.7150263157895,61.070725,13.929275,71.25,3.75,6.46839887499999,7.46087612500001,7.45877631578948
2,25,45.0359611111111,100,1000,0.01,-20.0359611111111,20.0359611111111,75,401.439737645957,FALSE,75,54.9640388888889,0,20.0359611111111,49.467635,25.532365,67.5,7.5,10.07532525,15.45703975,16.7797111111111
3,25,59.1323,58.7163,1000,0.01,-34.1323,34.1323,33.7163,1165.01390329,FALSE,75,40.8677,41.2837,34.1323,34.737545,40.262455,63.75,11.25,13.682251625,26.580203375,30.87605
4,25,63.7155125,63.3046,1000,0.01,-38.7155125,38.7155125,38.3046,1498.89090813766,FALSE,75,36.2844875,36.6954,38.7155125,29.02759,45.97241,60,15,17.289178,28.683232,35.4592625
5,25,70.4080733333333,71.0211,1000,0.01,-45.4080733333333,45.4080733333333,46.0211,2061.89312384538,FALSE,75,29.5919266666667,28.9789,45.4080733333333,22.193945,52.806055,56.25,18.75,20.896104375,31.909950625,42.1518233333333
6,25,76.7490857142857,76.8949,1000,0.01,-51.7490857142857,51.7490857142857,51.8949,2677.96787226449,FALSE,75,23.2509142857143,23.1051,51.7490857142857,16.27564,58.72436,52.5,22.5,24.50303075,34.22132925,48.4928357142857
7,25,74.2630615384615,73.9691,1000,0.01,-49.2630615384615,49.2630615384615,48.9691,2426.84923214225,FALSE,75,25.7369384615385,26.0309,49.2630615384615,16.72901,58.27099,48.75,26.25,28.109957125,30.161032875,46.0068115384615
0,25,19.9711,19.8076,1000,0.01,5.0289,5.0289,5.1924,25.28983521,FALSE,75,80.0289,80.1924,-5.02890000000001,80.0289,5.02890000000001,75,0,2.86147249999999,2.16742750000002,1.77265
