"byz","actual","predicted","selected.predicted","clock","threshold","blockchain_size_kB","error","absError","selected.absError","squaredError","consWhite","actual.white","predicted.white","selected.predicted.white","error.white","overall.mean","overall.absError","theoretical.actual","theoretical.pee","error.extrapolation","pee","harm"
0,25,21.33955,21.33955,1000,0.01,9468,3.66045,3.66045,3.66045,13.3988942025,FALSE,75,78.66045,78.66045,-3.66045,78.66045,3.66045,75,0,5.62183999999999,-1.96138999999999,-7.31148
0,25,27.05278,27.05278,1000,0.01,8928,-2.05278,2.05278,2.05278,4.21390572839999,FALSE,75,72.94722,72.94722,2.05278,72.94722,2.05278,75,0,5.62183999999999,-3.56905999999999,-8.91915
0,25,36.36777,36.36777,1000,0.01,8152,-11.36777,11.36777,11.36777,129.2261947729,FALSE,75,63.63223,63.63223,11.36777,63.63223,11.36777,75,0,5.62183999999999,5.74593000000001,0.39584
0,25,4.76061,4.76061,1000,0.01,9384,20.23939,20.23939,20.23939,409.6329075721,FALSE,75,95.23939,95.23939,-20.23939,95.23939,20.23939,75,0,5.62183999999999,14.61755,9.26746
0,25,43.71612,43.71612,1000,0.01,9564,-18.71612,18.71612,18.71612,350.2931478544,FALSE,75,56.28388,56.28388,18.71612,56.28388,18.71612,75,0,5.62183999999999,13.09428,7.74419
1,25,48.89311,48.89311,1000,0.01,9284,-23.89311,23.89311,23.89311,570.8807054721,FALSE,75,51.10689,51.10689,23.89311,51.10689,23.89311,71.25,3.75,9.09074799999999,14.802362,12.92118
1,25,26.18835,26.18835,1000,0.01,8664,-1.18835,1.18835,1.18835,1.4121757225,FALSE,75,73.81165,73.81165,1.18835,73.81165,1.18835,71.25,3.75,9.09074799999999,-7.90239799999999,-9.78358
1,25,25.53293,25.53293,1000,0.01,9164,-0.532929999999997,0.532929999999997,0.532929999999997,0.284014384899997,FALSE,75,74.46707,74.46707,0.532929999999993,74.46707,0.532929999999993,71.25,3.75,9.09074799999999,-8.55781799999999,-10.439
1,25,39.54669,39.54669,1000,0.01,9232,-14.54669,14.54669,14.54669,211.6061899561,FALSE,75,60.45331,60.45331,14.54669,60.45331,14.54669,71.25,3.75,9.09074799999999,5.45594200000001,3.57476
1,25,29.35533,29.35533,1000,0.01,9364,-4.35533,4.35533,4.35533,18.9688994089,FALSE,75,70.64467,70.64467,4.35533000000001,70.64467,4.35533000000001,71.25,3.75,9.09074799999999,-4.73541799999999,-6.6166
2,25,36.17966,36.17966,1000,0.01,8176,-11.17966,11.17966,11.17966,124.9847977156,FALSE,75,63.82034,63.82034,11.17966,63.82034,11.17966,67.5,7.5,12.559656,-1.37999599999999,0.207730000000005
2,25,41.46198,41.46198,1000,0.01,8512,-16.46198,16.46198,16.46198,270.9967855204,FALSE,75,58.53802,58.53802,16.46198,58.53802,16.46198,67.5,7.5,12.559656,3.902324,5.49005
2,25,5.47148,5.47148,1000,0.01,9308,19.52852,19.52852,19.52852,381.3630933904,FALSE,75,94.52852,94.52852,-19.52852,94.52852,19.52852,67.5,7.5,12.559656,6.968864,8.55659
2,25,38.09116,38.09116,1000,0.01,8312,-13.09116,13.09116,13.09116,171.3784701456,FALSE,75,61.90884,61.90884,13.09116,61.90884,13.09116,67.5,7.5,12.559656,0.531504000000005,2.11923
3,25,4.93069,4.93069,1000,0.01,7732,20.06931,20.06931,20.06931,402.7772038761,FALSE,75,95.06931,95.06931,-20.06931,95.06931,20.06931,63.75,11.25,16.028564,4.04074600000001,9.09738
3,25,47.33064,47.33064,1000,0.01,9076,-22.33064,22.33064,22.33064,498.6574828096,FALSE,75,52.66936,52.66936,22.33064,52.66936,22.33064,63.75,11.25,16.028564,6.30207600000001,11.35871
3,25,30.24715,30.24715,1000,0.01,7900,-5.24715,5.24715,5.24715,27.5325831225,FALSE,75,69.75285,69.75285,5.24715,69.75285,5.24715,63.75,11.25,16.028564,-10.781414,-5.72478
