"byz","actual","predicted","selected.predicted","clock","threshold","error","absError","selected.absError","squaredError","consWhite","actual.white","predicted.white","selected.predicted.white","error.white","overall.mean","overall.absError","theoretical.actual","theoretical.pee","error.extrapolation","pee","harm"
0,25,23.21737,23.2069,1000,0,1.78263,1.78263,1.7931,3.17776971689999,FALSE,75,76.78263,76.7931,-1.78263,76.78263,1.78263,75,0,0.186072499999995,1.5965575,0.312797499999997
1,25,66.7686421052632,66.5711,1000,0,-41.7686421052632,41.7686421052632,41.5711,1744.61946331756,FALSE,75,33.2313578947368,33.4289,41.7686421052632,31.56979,43.43021,71.25,3.75,3.92676887499999,39.503441125,40.2988096052632
2,25,81.6686333333333,81.27,1000,0,-56.6686333333333,56.6686333333333,56.27,3211.33400386778,FALSE,75,18.3313666666667,18.73,56.6686333333333,16.49823,58.50177,67.5,7.5,7.66746524999999,50.83430475,55.1988008333333
3,25,88.3654235294118,87.5091,1000,0,-63.3654235294118,63.3654235294118,62.5091,4015.17689906173,FALSE,75,11.6345764705882,12.4909,63.3654235294118,9.88939,65.11061,63.75,11.25,11.408161625,53.702448375,61.8955910294118
4,25,91.48578375,91.96451,1000,0,-66.48578375,66.48578375,66.96451,4420.35944085177,FALSE,75,8.51421624999999,8.03549,66.48578375,6.81137299999999,68.188627,60,15,15.148858,53.039769,65.01595125
5,25,91.6649793333333,91.59856,1000,0,-66.6649793333333,66.6649793333333,66.59856,4444.21946951376,FALSE,75,8.33502066666667,8.40144000000001,66.6649793333333,6.2512655,68.7487345,56.25,18.75,18.889554375,49.859180125,65.1951468333333
6,25,93.916215,100,1000,0,-68.916215,68.916215,75,4749.44468992623,FALSE,75,6.08378499999999,0,68.916215,4.25864949999999,70.7413505,52.5,22.5,22.63025075,48.11109975,67.4463825
7,25,94.6622369230769,94.31268,1000,0,-69.6622369230769,69.6622369230769,69.31268,4852.8272531269,FALSE,75,5.33776307692307,5.68732,69.6622369230769,3.46954599999999,71.530454,48.75,26.25,26.370947125,45.159506875,68.1924044230769
0,25,25.87926,25.5097,1000,0,-0.879260000000002,0.879260000000002,0.509700000000002,0.773098147600004,FALSE,75,74.12074,74.4903,0.879260000000002,74.12074,0.879260000000002,75,0,0.186072499999995,0.693187500000008,-0.590572499999999
1,25,67.2341631578947,67.7341,1000,0,-42.2341631578947,42.2341631578947,42.7341,1783.72453764767,FALSE,75,32.7658368421053,32.2659,42.2341631578947,31.127545,43.872455,71.25,3.75,3.92676887499999,39.945686125,40.7643306578947
