"byz","actual","predicted","selected.predicted","clock","threshold","blockchain_size_kB","error","absError","selected.absError","squaredError","consWhite","actual.white","predicted.white","selected.predicted.white","error.white","overall.mean","overall.absError","theoretical.actual","theoretical.pee","error.extrapolation","pee","harm"
0,25,22.63714,22.63714,1000,0,NA,2.36286,2.36286,2.36286,5.58310737960001,FALSE,75,77.36286,77.36286,-2.36286,77.36286,2.36286,75,0,7.22235000000001,-4.85949,-4.85949
0,25,14.05596,14.05596,1000,0,NA,10.94404,10.94404,10.94404,119.7720115216,FALSE,75,85.94404,85.94404,-10.94404,85.94404,10.94404,75,0,7.22235000000001,3.72168999999999,3.72169
0,25,13.25436,13.25436,1000,0,NA,11.74564,11.74564,11.74564,137.9600590096,FALSE,75,86.74564,86.74564,-11.74564,86.74564,11.74564,75,0,7.22235000000001,4.52328999999999,4.52329
1,25,14.19333,14.19333,1000,0,NA,10.80667,10.80667,10.80667,116.7841164889,FALSE,75,85.80667,85.80667,-10.80667,85.80667,10.80667,71.25,3.75,3.1112325,7.6954375,3.58432
1,25,22.8779,22.8779,1000,0,NA,2.1221,2.1221,2.1221,4.50330841,FALSE,75,77.1221,77.1221,-2.1221,77.1221,2.1221,71.25,3.75,3.1112325,-0.9891325,-5.10025
1,25,29.56253,29.56253,1000,0,NA,-4.56253,4.56253,4.56253,20.8166800009,FALSE,75,70.43747,70.43747,4.56253,70.43747,4.56253,71.25,3.75,3.1112325,1.4512975,-2.65982
1,25,22.79102,22.79102,1000,0,NA,2.20898,2.20898,2.20898,4.8795926404,FALSE,75,77.20898,77.20898,-2.20898,77.20898,2.20898,71.25,3.75,3.1112325,-0.902252499999999,-5.01337
1,25,33.96974,33.96974,1000,0,NA,-8.96974,8.96974,8.96974,80.4562356676,FALSE,75,66.03026,66.03026,8.96974,66.03026,8.96974,71.25,3.75,3.1112325,5.8585075,1.74739
2,25,27.11625,27.11625,1000,0,NA,-2.11625,2.11625,2.11625,4.47851406249999,FALSE,75,72.88375,72.88375,2.11624999999999,72.88375,2.11624999999999,67.5,7.5,0.999884999999992,1.11636500000001,-5.1061
2,25,25.53429,25.53429,1000,0,NA,-0.534289999999999,0.534289999999999,0.534289999999999,0.285465804099998,FALSE,75,74.46571,74.46571,0.534289999999999,74.46571,0.534289999999999,67.5,7.5,0.999884999999992,-0.465594999999993,-6.68806
